PHI:1715	PHI:1715
PHI:7359	PHI:7359
PHI:12183	PHI:12183
PHI:124200	PHI:124200
PHI:5870	PHI:5870
PHI:12052	PHI:12052
PHI:12052	PHI:10594
PHI:12052	PHI:3979
PHI:1465	PHI:1465
PHI:123718	PHI:123718
PHI:3820	PHI:3820
PHI:10396	PHI:10396
PHI:11358	PHI:11358
PHI:11358	PHI:124447
PHI:11705	PHI:11705
PHI:626	PHI:626
PHI:9417	PHI:9417
PHI:10082	PHI:10082
PHI:1415	PHI:1415
PHI:1415	PHI:1438
PHI:3409	PHI:3409
PHI:8976	PHI:8976
PHI:8976	PHI:123592
PHI:8976	PHI:2685
PHI:8976	PHI:123186
PHI:8976	PHI:125050
PHI:8976	PHI:5332
PHI:8976	PHI:11521
PHI:8976	PHI:9026
PHI:6848	PHI:6848
PHI:6848	PHI:6847
PHI:5606	PHI:5606
PHI:1639	PHI:1639
PHI:10618	PHI:10618
PHI:3017	PHI:3017
PHI:4110	PHI:4110
PHI:123703	PHI:123703
PHI:7616	PHI:7616
PHI:1596	PHI:1596
PHI:8505	PHI:8505
PHI:9252	PHI:9252
PHI:5836	PHI:5836
PHI:4584	PHI:4584
PHI:123078	PHI:123078
PHI:123078	PHI:124983
PHI:123078	PHI:4471
PHI:3165	PHI:3165
PHI:123364	PHI:123364
PHI:10889	PHI:10889
PHI:1287	PHI:1287
PHI:2105	PHI:2105
PHI:4106	PHI:4106
PHI:1301	PHI:1301
PHI:1829	PHI:1829
PHI:9373	PHI:9373
PHI:9373	PHI:6367
PHI:7381	PHI:7381
PHI:7381	PHI:7380
PHI:1634	PHI:1634
PHI:6391	PHI:6391
PHI:6391	PHI:124806
PHI:6391	PHI:3972
PHI:9118	PHI:9118
PHI:11675	PHI:11675
PHI:7814	PHI:7814
PHI:1523	PHI:1523
PHI:392	PHI:392
PHI:392	PHI:3095
PHI:11743	PHI:11743
PHI:11743	PHI:8776
PHI:9995	PHI:9995
PHI:123539	PHI:123539
PHI:123539	PHI:124807
PHI:1310	PHI:1310
PHI:5596	PHI:5596
PHI:1384	PHI:1384
PHI:9166	PHI:9166
PHI:1788	PHI:1788
PHI:1367	PHI:1367
PHI:5839	PHI:5839
PHI:1720	PHI:1720
PHI:2969	PHI:2969
PHI:2969	PHI:5233
PHI:124574	PHI:124574
PHI:6826	PHI:6826
PHI:6852	PHI:6852
PHI:5436	PHI:5436
PHI:124141	PHI:124141
PHI:431	PHI:431
PHI:431	PHI:3986
PHI:4083	PHI:4083
